archivo,titulo_tesseract,conf_tesseract,titulo_vision,conf_vision,coincide,texto_ocr_tesseract,texto_ocr_vision
001_AP1GczPxN9.jpg,C lasicos de la,93.5,Los Tardhumaras,89.0,no,C lasicos de la,Los / Tardhumaras / UNA TRIBU INDIA / DEL NORTE DE MEXICO / Wendell C. Bennett bef / Robert M. Zingg / Clásicos de la / Antropología / INSTITUTO NACIONAL INDIGENISTA
002_AP1GczOu1V.jpg,Saúl Millán Julieta Valle coordinadores,94.0,PUEBLOS INDICLAS egionesRAFÍA COMENTADA L PUEBLOS INDÍGENADE I M indigenas ENTADA LA,91.2,no,EN EL ESPEJO BIBLIOGRÁFICO / 2 / Saúl Millán / Julieta Valle / coordinadores / ETNOGRAFÍA DE LOS PUEBLOS / INDÍGENAS DE MÉXICO,E MÉXICO BIBLIOGRAFIEOLOGRAR TAD REGIONES INDÍGENAS EN EL E / EGIONES INDÍGENAS EN EL ESPEJO BIBLIOGRÁFICO ETNOGRAFÍA DE LOS PUE / ETNOGRAFÍA DE LOS PUEBLOS INDÍGENAS DE MÉXICO BIBLIC FÍA COM / DE MÉXICO BIBLIOGRAFÍA COMENTADA LAS REGIONES INDÍGENAS EN EL E / EGIONES INDÍGENAS EN LO BIBLIOGRAFICO ETNOGRAFÍA DE LOS PUB / ETNOGRAFÍA DE LO BLOS IN GENAS DE MÉXICO BIBLIOGRAFIA COM / PUEBLOS INDÍGENAS AICO BIBLIOGRAFÍA COMENTADA LA / PUEBLOS INDICLAS egionesRAFÍA COMENTADA L / PUEBLOS INDÍGENADE I M indigenas ENTADA LA / PUEBLOS INDIGEN DE MÉXICO BIBLIOGRAFÍA COMENTADA L / EN EL ESPEJO BIBLIOGRÁFICO / PUEBLOS INDIC AS DE MEXICO BIBLIOGRAFIA COMENTADA LA / 2 / EJO BIBLIOGRAFICO ETNOGRAFIA DE LOS P / COMENTADA LAS REGIONES INDÍGENAS EN E / BLOS INDIGENAS Julieta Saúl Millán Valle O BIBLIOGRAF / EJO BIBLIOGRÁFICOGRAFÍA DE LOS P / COMENTADA LAS RE ONES INDÍGENAS EN E / BLOS INDÍGENAS ETNOGRAFÍA DE MEXICO DE LOS PUEBLOS BIBLIOGRAF / INDÍGENAS DE MÉXICO / EJO BIBLIOGRAFICO ETNOGRAFIA DE LOS P
003_AP1GczPHVO.jpg,Guanajuato: la cultura en el tiempo,96.0,Guanajuato la cultura en el tiempo,99.0,no,Guanajuato: / la cultura / en el tiempo / us vale El. COLEGIO DEL BAJIO / al Segunda época,Guanajuato / la cultura / en el tiempo / Mariano González Leal Coordinador / EL COLEGIO DEL BAJIO / Segunda época
004_AP1GczOVmZ.jpg,El contingente de sangre,96.0,El contingente de sangre,97.2,si,COLECCIÓN / DIVULGACIÓN / El contingente / de sangre / José Antonio Serrano Ortega,N / COLECCIÓN / DIVULGACIÓN / 1170 / El contingente / de sangre / José Antonio Serrano Ortega
005_AP1GczOT4m.jpg,El proceso ideológico de la revolución de Independencia,96.0,de Independencia,98.7,no,El proceso ideológico / de la revolución / de Independencia,El proceso ideológico / de la revolución / de Independencia / Luis Villore / Sep
006_AP1GczP2nE.jpg,APORTACIONES INDIAS,96.0,Gerardo López y Sergio Velasco APORTACIONES INDIAS A LA EDUCACIÓN,98.1,no,APORTACIONES / INDIAS / A LA EDUCACIÓN,antología preparada por / Gerardo López y Sergio Velasco / APORTACIONES / INDIAS / A LA EDUCACIÓN / Ediciones Sep / El Caballito CULTURA
007_AP1GczPfTi.jpg,,0.0,LA SOCIEDAD MEXICANA CONTEMPORANI,92.2,no,,SOCIEDAD MEXICANA DE ANTROPOLOGIA / LA SOCIEDAD MEXICANA / CONTEMPORANI / UNA VISION ANTROPOLOGICA / ALY
008_AP1GczPKUM.jpg,[Seminario sobre identidad,90.0,I Seminario sobre identidad,98.4,no,[Seminario sobre identidad / Lelicla Irene Méndez y Mercado / Complladora / MEINSTITUTO DE / W INVESTIGACIONES / hav? ANTROPOLOGICAS,I Seminario sobre identidad / Leticia Irene Méndez y Mercado / Compiladora / INSTITUTO DE / INVESTIGACIONES / ANTROPOLOGICAS
009_AP1GczMBhJ.jpg,RABELAIS,92.0,Josafat Pichardo Paredes RABELAIS LA EDUCACIÓN Y EL RENACIMIENTO,98.8,no,RABELAIS: / LA EDUCACION / Y EL RENACIMIENTO / FRANCES,antología preparada por / Josafat Pichardo Paredes / RABELAIS / LA EDUCACIÓN / Y EL RENACIMIENTO / FRANCÉS / wwwwwwwww / Ediciones Sep / El Caballito CULTURA
010_AP1GczOudI.jpg,La Espiga y El Laurel,93.0,La Espiga y El Laurel,97.9,si,"La Espiga y El Laurel / 20 (1947-1953) / La Espiga gel Layrel / Cuaderno Wee Not / LA / PROPOSETO / sel Gentes (Hal / Hind de nas destino, / y / den de lograr / Da / fm inguirtudes del: / Cuarinita la fuma design, supe la reat las del ada? / Keplice y wither tom dan ie Lame y mircila 13 regio, / La Techo por our otengBipnated La” vida prox / whorta y fe Tila utuelosia rater nates wr / mivermiliza, com la fi / lar easton / Serie Facsimilaros Nicolaitas / Presentación y Notas / A.ronso ESPITIA CARLOS ARENAS / ARTURO MOLINA / Ca / BIBLIOTECA DEL UNIVERSITARIO NICOLAITA / Universidad Michoacana de San Nicolás de Hidalgo",La Espiga y El Laurel / 1947-1953 / La Espiga El Laurel / Cuaderno Notan / UNO / PROPOSITO / ASAR / el inputs ital / al bombre ca ital de a destino / elatas Trabajo Ma que el a traje veres su dolor durelere angudia yhd le perA / hyos para su Patria / Mesta / to Dabitidades costante inquietudes de prea lograr la del in humans discalive mediante I a int / Concluida la frena del vigi surge la mati fad del r / Kapica y es dan kole Laurel y estrella / las curta edastes liversaliza La y luka feli lad pratented en uts la fonald Trat milegria rasles la de vila pestro l prospera atas ml terales alleeta y de litere at I / bra que Elusty en un gim el hele de trasmitir mestra pole / blies expreugde uma vis / spirali otelle / tud de Msi que bando habrá de el data pingp l irate la real y estul sagita part Is / Desat in desperd / estidiana / ntrar a patio pro coumen y al difundirlasjev / En Páginas Inter inves / LAS der RE Antunio TAS HACER Y ORDENANZAN COMENTARIO Arriaga ATISBOS UN NONE MO PET LOHISPADO arles GICOS Y EL Armas PIRATA Jund DE U Barra MICHOACAN ALGUNOS LAFITTE Campo Salvador POEMAS LUCIO Pablo QUIE Reyva Ro NO / 1 / Serie Facsimilares Nicolaitas / Presentación y Notas / ALFONSO ESPITIA CARLOS ARENAS / ARTURO MOLINA / BIBLIOTECA DEL UNIVERSITARIO NICOLAITA / Universidad Michoacana de San Nicolás de Hidalgo
