portada,titulo,album,carpeta,archivo,rotacion,titulo_confianza,texto_ocr,url_origen
rotadas/caja-10/001_AP1GczM5d0.jpg,sti C H. E. BARNES YH.BECKER,Caja #10,caja-10,001_AP1GczM5d0.jpg,0,94.7,sti C H. E. BARNES / YH.BECKER / II / HISTORIA DEL / ENSAMIENTO SOCIAL / CORRIENTES SOCIOLOGICAS / EN LOS DIVERSOS PAISES,https://lh3.googleusercontent.com/pw/AP1GczM5d0uGn_hQiOpIdFFOadbUgQedARy_LB9KXN1TjNRpjIk_GqpbzxGfb5LldtmmJg_jn7b4E7TIO99VD0NuXGraXH8DV7lSmmn3tFgGNuC7GGmc630
rotadas/caja-10/002_AP1GczP1rN.jpg,Los arrieros del agua,Caja #10,caja-10,002_AP1GczP1rN.jpg,0,99.1,Carlos Navarrete / Los arrieros del agua / S / editorial / praxis,https://lh3.googleusercontent.com/pw/AP1GczP1rNDoBLVMVU4n36zgX6d0e3qFdsyy5_s-a6IzZWYiTftrYdF7_TFUyTjZN-R8fMdLMaqdzWmDm-pqs4IMn-ou4ZfoQfRqtw_wI91eS3DwNjBeCuU
rotadas/caja-10/003_AP1GczMcCv.jpg,Guanajuato historiografía,Caja #10,caja-10,003_AP1GczMcCv.jpg,0,98.8,Guanajuato / historiografía / José Luis Lara Valdez Coordinador / EL COLEGIO DEL BAJIO / Segu Ca época,https://lh3.googleusercontent.com/pw/AP1GczMcCvnp-LngCxH8DgHXbbOa5MKs-hIllKV63s4rkQ_-iu8luXQEfOUZWxFunx4a6VcoNmLLX2cRiT8JkYItYX21_HZeiuIRFVp0UFC-WWwgS1wZIqc
rotadas/caja-10/004_AP1GczM1X1.jpg,DIOCESIS,Caja #10,caja-10,004_AP1GczM1X1.jpg,0,88.3,LA / DIOCESIS / DE / ZAMORA / -MEMORIAS / AGUSTIN MAGAÑA MENDEZ,https://lh3.googleusercontent.com/pw/AP1GczM1X1Z8j_c_DV4hHgWgxaYXaXXai3v15PKF0oZgLTwBmXU_qDTUQK68KENCWVUCAHGoHjT0W6cFALvfiqGn44s3o7fXU9gjS1qZFCsxnIafB3pJ-84
rotadas/caja-10/005_AP1GczMPhX.jpg,del 576 Nayarit,Caja #10,caja-10,005_AP1GczMPhX.jpg,0,94.2,Los coras de la sierra / del 576 Nayarit / Barbro Dahlgren Jordan / INSTITUTO DE / INVESTIGACIONES / ANTROPOLOGICAS,https://lh3.googleusercontent.com/pw/AP1GczMPhXUsFXfPhdMxXAVe6tV9-wgy1yMtNZaUP-ek7J5HIN4dGAMOm-Y19PGipV7FKStd7dPKf2YUuf859SU43GbRguFwnBgKkMixbY8PfgsPhVmdExI
rotadas/caja-10/006_AP1GczMuQH.jpg,María Cristina Álvarez,Caja #10,caja-10,006_AP1GczMuQH.jpg,0,96.3,María Cristina Álvarez / TEXTOS COLONIALES / DEL LIBRO DE CHILAM / BALAM DE CHUMAYEL / Y / TEXTOS GLÍFICOS / DEL CÓDICE DE DRESDE / SE / CENTRO DE ESTUDIOS MAYAS / CUADERNO 10,https://lh3.googleusercontent.com/pw/AP1GczMuQH1Qs_iQkui_XEEA0uYQgx6O_Sy0_0aPle3nHFVFgVXfZ8Y45KUOC5aCOGHBOSU3Ij4tQYKJh4TlBh-oM09zINZRSCYmqOiUHuW_GAfJsUf9UnY
rotadas/caja-10/007_AP1GczPG2y.jpg,arqueológica Mezcala,Caja #10,caja-10,007_AP1GczPG2y.jpg,0,98.9,La cultura / arqueológica Mezcala / Rosa María Reyna Robles / COLECCIÓN CIENTÍFICA / INSTITUTO NACIONAL DE ANTROPOLOGÍA E HISTORIA,https://lh3.googleusercontent.com/pw/AP1GczPG2yfKQHUofd8-uL2ysOQddmkGGJw43sDJ-S-2VcfIw4SWO0-nEIQz68o9a8CEPu3x8fHRI04zDC5va2Z8BIz6nzX1rEK_3ndJu4hrdkWvIccp8-g
rotadas/caja-10/008_AP1GczM4uq.jpg,UN ESTUDIO DEL SIGNIFICADO,Caja #10,caja-10,008_AP1GczM4uq.jpg,0,95.7,UN ESTUDIO / DEL SIGNIFICADO / Presupuestos principios y desarrollo / Josefina García Fajardo / COLECCION CIENTIFICA,https://lh3.googleusercontent.com/pw/AP1GczM4uqMHavDLzn-ZrHLy2pl5uSsoSbQmf94bqWPPPqw0aXPZ5huq9_IxW1Oqk7q8iNO64qVTiVh0FRvm21CctmkZwf0RWhzKWj64OtDnPodCzjhXnPg
rotadas/caja-10/009_AP1GczNZG3.jpg,EL MUNDO COMO REPRESENTACION,Caja #10,caja-10,009_AP1GczNZG3.jpg,0,91.5,Historia / Roger Chartier / EL MUNDO COMO / REPRESENTACION / Historia cultural entre / práctica y representación / gedisa editorial,https://lh3.googleusercontent.com/pw/AP1GczNZG34UEW3UqJMzfxz7Zm2VN4SE6P7WLH99SDJJU_fqFyaJCsOZ327hQ1LQsIkxLSVSwGqvZ4UdTkO0L_xoZEskkDX5kkqze9rKvlQuz-lGKyA9zZA
rotadas/caja-10/010_AP1GczPzkL.jpg,Revista de Literaturas Populares,Caja #10,caja-10,010_AP1GczPzkL.jpg,0,98.6,AÑO XII NÚMERO 2 JULIO DICIEMBRE DE 2012 ISSN 1665-6431 / Revista de Literaturas / Populares / FACULTAD DE FILOSOFÍA Y LETRAS / UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,https://lh3.googleusercontent.com/pw/AP1GczPzkLPtzuDRHex7qSm1BX0W1wwjkiu5hzIfavA0iBKtNEXJye8XAgYUSQYqRjbuvjU3trRcFZESbfornT9E38GuAg08sS0PtCrVDgrgc0YHAlRwvPo
rotadas/caja-10/011_AP1GczMlnZ.jpg,Vladimir Mayakovski,Caja #10,caja-10,011_AP1GczMlnZ.jpg,0,96.5,Vladimir Mayakovski / VLADIMIR ILICH LENIN / 4031 / EDITORIAL PROGRESO MOSCU,https://lh3.googleusercontent.com/pw/AP1GczMlnZ8sJe0zhW1x2rcPtWuRl3eam5rfAkXt4YLPqSBWECJI7yCnASfmCpqUk4MW2CEp6z9a5Tzl1T45TkTP3XHHr5LYjKME7KzVgwQL_66OAJfzZX8
rotadas/caja-10/012_AP1GczOpHr.jpg,ANIBAL PONCE,Caja #10,caja-10,012_AP1GczOpHr.jpg,0,99.0,ANIBAL PONCE / EDUCACION / Y LUCHA / DE CLASES / EDITORIAL CARTAGO,https://lh3.googleusercontent.com/pw/AP1GczOpHrfNV1MmtefEXIMzqCZPEdxNlfLl8Ib7AtEwdoIEA2HK3BVVn5Lu_OZzqdze4p_8wvrsvSbtOQ6OagXtijXDAhte-iY3-wo_xgXV_c1RAyxOGIs
rotadas/caja-10/013_AP1GczO7iG.jpg,LA BURGUESIA LA OLIGARQUIA Y EL ESTADO,Caja #10,caja-10,013_AP1GczO7iG.jpg,0,97.5,"LOS GRANDES PROBLEMAS NACIONALES / Jorge Carrión Alonso Aguilar M. / LA BURGUESIA / LA OLIGARQUIA Y EL ESTADO / AUTOMOTRIZ / Frenomex 9 n d 71.1 / Mexicana de Autobuses 6 89.1 105.6 18.5 / Spicer 6 172.6 174.8 1.3 / Trans y Equipos / Mecánicos 6 151.1 171.3 13.4 / Vehiculos Automotores 6 325.9 346.5 6.3 / CEMENTO Y MATERIALES PARA / LA CONSTRUCCION / Fca Cementos Cementos Cementos Asbestos Cementos de Ladrillos de Tolteca del Atoyac Apasco México Norte Refr 6 6 6 6 6 233.2 76.2 62.0 15.1 5,4 266.9 73.6 63.9 11.2 15.9 107.4 14.5 16.1 18.7 5.3 / Nacional Ladrillera Harbison de Monterrey Walker Cobre Flir 9 6 6 239.6 87.9 32.9 276.4 45.4 50.1 43.0 38.0 15.4 / Productos Mexalit 6 46.8 57.7 23.3 / METALES / Altos Aceros Hornos Ecatepec 6 98.3 126.7 28.9 / Aluminio Ferroaleaciones de Méx 6 6 1,121.7 142.2 1,333.7 148.2 18.9 4.2 / de Méx 6 31.7 32.5 2.5 / Fundidora Fundidora de de Aceros Monterrey 6 656.3 688.4 4.9 / Tubería Tubos Tubacero Reynolds Tepeyac de Nacional Acero Aluminio 6 12 6 9 102.4 52.6 98.9 11.6 106.1 86.1 61.8 11.5 17.5 12.9 3,6 0.9 / de México 6 351.6 388.4 10.5 / ELECTRICA Y ELECTRONICA / Esmaltados 6 111.2 161.7 45.4 / 2a.ctric 6 333.1 8.0 362.3 14.2 77.5 8.8 / 266.3 322.1 / EDICION 21.0 / Real meda 6 6 53.1 20.7 21.5 56.5 6.4 3.9 / N / T. EDITORIAL NUESTRO TIEMPO",https://lh3.googleusercontent.com/pw/AP1GczO7iG5gHiQQohfYltxjMq0mEJt6DJDQ4qV3S2K0f-oWPD8jAb55ihT5ubdLA7KAniv6Sp5u_YMtuU6_9fWxGrkoqgGluR6ZakzBcs5ThgJlUFdae1I
rotadas/caja-10/014_AP1GczO10W.jpg,NTENARIO CARDENAS,Caja #10,caja-10,014_AP1GczO10W.jpg,0,88.3,LAZARO CARDENAS / Y SU PROYECTO CULTURAL / EN MICHOACAN / Ma Teresa Cortés Zavala / NTENARIO / CARDENAS / LAZARO 66 / 7895 / UNIVERSIDAD MICHOACANA DE SAN NICOLAS DE HIDALGO,https://lh3.googleusercontent.com/pw/AP1GczO10WYizINwaab4YXb15SlCqZUUVeLiTyPfUYELRE7XnvpnOmuPXfeqvcXMjsb4C9PC-wfSRhT5XLJZhOyOPOfPhIJrDuBr48uUkF2UNbz1fO06gMA
rotadas/caja-10/015_AP1GczP022.jpg,Estudios michoacanos I,Caja #10,caja-10,015_AP1GczP022.jpg,0,98.4,Estudios / michoacanos I / 8 / EL COLEGIO DE MICHOACAN / GOBIERNO DEL ESTADO DE MICHOACAN,https://lh3.googleusercontent.com/pw/AP1GczP022RlRPfre5KDpt5pPYpAA5ey8JT1nJe_riiU2j945j9Lb4Bwl8nP9fQJ06362SI_5sc83rdWU0jIxyDsfXWWNnKP5Py9I7KaHEE1txn8N-ij-sM
rotadas/caja-10/016_AP1GczNqsF.jpg,Estudios michoacanos II,Caja #10,caja-10,016_AP1GczNqsF.jpg,0,97.8,Estudios / michoacanos II / 3 3 / 3 / EL COLEGIO DE MICHOACAN / GOBIERNO DEL ESTADO DE MICHOACAN,https://lh3.googleusercontent.com/pw/AP1GczNqsFiefJFrvqwDdSifHhi0lSWHO_wk4fkidW_4tguanktrxGBJYDcR9c2dx-yBkcyWnx92aXvKAy1fjidOjpSBSe19m48vQn_eksVpdXIzz9Z8nJc
rotadas/caja-10/017_AP1GczPWsd.jpg,LA RELACION DE MICHOACAN,Caja #10,caja-10,017_AP1GczPWsd.jpg,0,97.5,FRAY JERONIMO DE ALCALA / .1 / LA RELACION / DE MICHOACAN,https://lh3.googleusercontent.com/pw/AP1GczPWsdaAHi7nRB73aqQAcufw7-8tjBP6Sox-bGXtBXWK7NXxBoVJswTIfm_OeAEahUwcnLvZxn3AVIRvMHfqRw6NcOekM4T0GflQfvJgPr6lzHweSZI
rotadas/caja-10/018_AP1GczO30K.jpg,LA CONQUISTA DE MICHOACAN,Caja #10,caja-10,018_AP1GczO30K.jpg,0,99.0,J. BENEDICT WARREN / LA CONQUISTA / DE MICHOACAN / 1521-1530,https://lh3.googleusercontent.com/pw/AP1GczO30K6MXBzK37Q93wQYJreAJIFgoG9CqQL8jqVbk8XgvU1UavzjYyvMYg0iazvHfjJXJ3h2t4uteT3iYtvqlFz47681D0S73_xJgyp1dZyQOwUjXX8
rotadas/caja-10/019_AP1GczPqjz.jpg,arte diraith Miguel Núñez,Caja #10,caja-10,019_AP1GczPqjz.jpg,0,71.0,La enseñanza de la Física y las Matemáticas / en la Escuela Nacional Preparatoria los primeros años 1868-1896 / arte diraith Miguel Núñez / Premio Dr. Enrique Beltrán de Historia de la Ciencia en México 2002 / de Historia a de la Ciencia y / Sociedad Mexicana Fundada en 1964 A.C. la Tecnología,https://lh3.googleusercontent.com/pw/AP1GczPqjzYUf4WfdaAAnihJz_UqAOAyUxGkyGo0Whigy0sThWf1STnyz20dkfyslzrQcd-wcwrxs5eoxNuN3LgwLitzIPHn1IwKxlP6jRmMY8_CeGpGEgg
rotadas/caja-10/020_AP1GczNVLN.jpg,Milan Kundera LA INSOPORTABLE LEVEDAD DEL SER,Caja #10,caja-10,020_AP1GczNVLN.jpg,0,98.2,Milan Kundera / LA INSOPORTABLE / LEVEDAD DEL SER / colección andanzas / TUSQUETS / EDITORES,https://lh3.googleusercontent.com/pw/AP1GczNVLNWgCPcPdXDoTO-X89wUpqxVgGg9QvLwQO9yFuWIUAiEYtIucZv7faPi8-t2sC3qQf082eCL2MszCDJ35EDEfdfM9kUuRbrJTe9aOODtq7c-ja4
rotadas/caja-10/021_AP1GczNz2j.jpg,ANTROPOLOGIA DELA POBREZA,Caja #10,caja-10,021_AP1GczNz2j.jpg,0,97.5,ANTROPOLOGIA / DELA POBREZA / cinco familias / por Oscar Lewis / Fe,https://lh3.googleusercontent.com/pw/AP1GczNz2jrjBQDPaYFQCSwbUvD2_wP2ziqvQp9WhNixdS6fzwz9g24No0F0mxkdFxTq0rJYvq8fuPxzKnotYug7oxoUhwgsAggiUW_MFQ7CKaQL1y6Hvv4
rotadas/caja-10/022_AP1GczNDJB.jpg,TEORÍA MARXISTA DE LAS SOCIEDADES PRECAPITALISTAS Maurice Godelier,Caja #10,caja-10,022_AP1GczNDJB.jpg,0,95.8,TEORÍA MARXISTA / DE LAS SOCIEDADES / PRECAPITALISTAS / Maurice Godelier / ri tar / LAIA B,https://lh3.googleusercontent.com/pw/AP1GczNDJB62OUWJl_3kGpCptZ3IB7kA_7l_97Dnmto5e0MJbZ3JII8mzYEMA63y3ouCazc1lEiB-r7usdFXKLOJFxrIUDMgt81toWBTyIkuLSyaoXl9wIo
rotadas/caja-10/023_AP1GczPBJl.jpg,F. V. KONSTANTINOV 128 B. KEDROV I. KON,Caja #10,caja-10,023_AP1GczPBJl.jpg,0,94.4,F. V. KONSTANTINOV / 128 B. KEDROV / I. KON / introducción / al materialismo / histórico / JUAN GRUALBO / JG / EDITOR / colección 70,https://lh3.googleusercontent.com/pw/AP1GczPBJlfiHyt-AR5SCH0Ln2JmWcohRnDCCmY6p7KAsSD9WY4szJLxOMDBjxga2BVxmWKoxEJmt5_RVWNbWId_MRg3i2F4nMkNiCQL5LQfxXtm5kw_91A
rotadas/caja-10/024_AP1GczP-mW.jpg,Pietro Scarduelli DIOSES ESPÍRITUS ANCESTROS Elementos para la comprensión,Caja #10,caja-10,024_AP1GczP-mW.jpg,0,97.8,Pietro Scarduelli / DIOSES ESPÍRITUS / ANCESTROS / Elementos para la comprensión / de sistemas rituales,https://lh3.googleusercontent.com/pw/AP1GczP-mW3StR0EDNxl8UNHd1pkUhTp8SYtiHWGMQUcafs4U-ktoQE9o6hgeaEqzOuqRfhryJyMU6uyoHVckGWrlaqL9tXYtCMdOUhyXjk3GHYwJPXGsgc
rotadas/caja-10/025_AP1GczMxhw.jpg,Relatos ocultos en la niebla y el tiempo,Caja #10,caja-10,025_AP1GczMxhw.jpg,0,98.5,ESTUDIOS / GRÁFICO / Relatos ocultos / en la niebla y el tiempo / Selección de mitos y estudios / Blas Román Castellón Huerta / Coordinador / ETNOGRAFÍA DE LOS PUEBLOS / INDIGENAS DE MÉXICO / INSTITUTO NACIONAL DE ANTROPOLOGÍA E HISTORIA,https://lh3.googleusercontent.com/pw/AP1GczMxhwF9yEx4ozOiPAQYtPrIplSn777OGkZPSEokINuhBJAKe8A8R__38dSIKYt8Y4c7gqSaFuZb6jve8OdZqKrc07pVZWAIYKQGIgN5rcNB3bf9me4
rotadas/caja-10/026_AP1GczMTyX.jpg,Historia de los Antiguos Habitantes de Michoacán,Caja #10,caja-10,026_AP1GczMTyX.jpg,0,98.3,Historia / de los Antiguos / Habitantes de / Michoacán / DESDE SU ORIGEN HASTA LA CONQUISTA ESPAÑOLA / JOSE CORONA NUÑEZ / OVLNCTION EL DESTINO / BALSAL EDITORES S.A. DE C.V.,https://lh3.googleusercontent.com/pw/AP1GczMTyXBxLnXOZxjs_Vroj6U6UlHjJWgxNaHeEqdkD57LEZibW4byIuL4fqHnMXZq0VdPrKixATt9r8X7BDEC8BGtET1AQ21DcfpyJDEmeggDrgUE0U4
rotadas/caja-10/027_AP1GczPxVu.jpg,TZINTZUNTZAN,Caja #10,caja-10,027_AP1GczPxVu.jpg,0,98.0,TZINTZUNTZAN / GEORGE M. FOSTER / FONDO DE CULTURA ECONÓMICA,https://lh3.googleusercontent.com/pw/AP1GczPxVuZqg3BYPDShuKhpAYv5E0Nb_qcrBmuYQzL52OEJPmi3F8Hcn5R3c2TnrqwM3uIcqYdu40c3x9gwl2iIThE4qIsy-HNgYCEwZ0r_i7TLtIbmM84
rotadas/caja-10/028_AP1GczOKZd.jpg,VOCES DEL PASADO,Caja #10,caja-10,028_AP1GczOKZd.jpg,0,90.7,JOSE CORONA NUÑEZ / VOCES DEL / PASADO / Los / fon / BIBLIOTECA DE NICOLAITAS NOTABLES / 54 / Volumen preparado por el centro de Estudios sobre la / Cultura Nicolaita Editado por la Universidad / Michoacana de San Nicolás de Hidalgo / Morelia Mich México 1995,https://lh3.googleusercontent.com/pw/AP1GczOKZd0xy5UJ6_T9reX6_dyTHUWx46pXBf7nOF7UmiW05UF56KXrbc66ulptbF1vuYoL1FjB-Cixq0530I1sPEcI9wB9i5ddCqrICjGKmZTOoZMSuF0
rotadas/caja-10/029_AP1GczPFqT.jpg,de Michoacán,Caja #10,caja-10,029_AP1GczPFqT.jpg,0,97.2,Andy indo Vay calm yer desudios Deen dies onnmberi onnmberi yaaa y haga saca fico esas Sm / dea Quellos fauboe Meanan raydo delas entradas Yfacram's / os de nelies head canbad cenabos yrasabase conto das agat / La relación Dando il tempolem / used bt / de Michoacán / sa queros quetubo cita gente ySuchos an / dray Jerónimo de Alcalá vucia / Francisco Miranda / Versión paleografica separación de textos ordenación / coloquial estudio preliminar y notas / See,https://lh3.googleusercontent.com/pw/AP1GczPFqTNn2NyyheZS9DQVteFFvQVzJnx0ZfvTMNhQJKLuTuWrAIiIvVAPbcTJlQ1rv2-Db74sVcPslPGuEaLGW0yGM-5EdguDUM3QZUxWCRFQENqqq_Q
rotadas/caja-10/030_AP1GczN3ZU.jpg,Juan de la Cabudi,Caja #10,caja-10,030_AP1GczN3ZU.jpg,0,64.5,cuentos / y sucedidos 5 / Juan de la Cabudi / CORTO / CIRCUITO,https://lh3.googleusercontent.com/pw/AP1GczN3ZUNzKsTQOA-8OvSXQTqwatu3pPkYF1PmQVY_VlnP16_418r_aMd5rlHyOfu9D9Eg_R-h1Mnz3M-zMcCjG-KU5b6FSvdsJaqPA5ARJTDQBTdzyP4
rotadas/caja-10/031_AP1GczP7QD.jpg,M.A.K.HALLIDAY EL LENGUAJE COMO SEMIOTICA SOCIAL,Caja #10,caja-10,031_AP1GczP7QD.jpg,0,97.8,M.A.K.HALLIDAY / EL LENGUAJE / COMO SEMIOTICA / SOCIAL / LA INTERPRETACION SOCIAL / DEL LENGUAJE Y DEL SIGNIFICADO,https://lh3.googleusercontent.com/pw/AP1GczP7QDpyso6ajRsrE9mqiex5h2E29zZtKbn_9wP-ljsBQrLjNBP9FXmcG1Rwp6TNzlpg-B98e9j7Sqk-912HTym1EN8Lqff3dC5QpFFkpZkhtZT2CNU
rotadas/caja-10/032_AP1GczNJWt.jpg,Los Desastres en México,Caja #10,caja-10,032_AP1GczNJWt.jpg,0,98.0,Los Desastres en México / UNA PERSPECTIVA MULTIDISCIPLINARIA / Mario Garza Salinas / Daniel Rodríguez Velázquez / Coordinadores / AL / LA VERDAD NOS HARA LIBRES UNIVERSIDAD / UNIVERSIDAD AUTONOMA / UNIVERSIDAD AUTONOMA DE NACIONAL MEXICO IBEROAMERICANA METROPOLITANA / SANTA FE CIUDAD DE MEXICO XOCHIMILCO,https://lh3.googleusercontent.com/pw/AP1GczNJWti6ZFEQOFqpbtO7rafCCUyKXGiisE-PFHm-jAYlePBiOFUr0oN-_aMYmXkg-I3qOcEkuHNylCXYDMYx1SudR1hKox_6oNtVKXdAaeYWBEvkc-I
rotadas/caja-11/001_AP1GczN1EV.jpg,La complejidad de la antropología física,Caja #11,caja-11,001_AP1GczN1EV.jpg,0,97.5,La complejidad / de la antropología física / Tomo II / Anabella Barragán Solís / Lauro González Quintero / Coordinadores / 13 / D / INVESTIGACIÓN PROA,https://lh3.googleusercontent.com/pw/AP1GczN1EVpildAJAsWXYi0LVcf3NjugGs_K8uXyD8M6T0HjKESwXfVd43_-xoIBAIW7itxWccKw3WigPaYdL2MON-RFn6aNT_jEjUz9NLEfCjWn8AZLnQc
rotadas/caja-11/002_AP1GczMeQz.jpg,mesoamerican archaeology,Caja #11,caja-11,002_AP1GczMeQz.jpg,0,99.0,BLACKWELL STUDIES IN GLOBAL ARCHAEOLOGY / mesoamerican / archaeology / Edited by / Julia A. Hendon and Rosemary A. Joyce / Blackwell / Publishing,https://lh3.googleusercontent.com/pw/AP1GczMeQz1l1WQEnOr8_PbwQJ-ZNmkW-mkt_-6fsK8xAUjNwQU4AxUyIFPzLdiJugdHOWqk1GDyL-SMX1eDnnTwQ24kraPuvHqtULKLi8kdP8wHvwls1o0
rotadas/caja-11/003_AP1GczM_AJ.jpg,SABOR A TI Metodología cualitativa en investigación social,Caja #11,caja-11,003_AP1GczM_AJ.jpg,0,98.8,SABOR A TI / Metodología cualitativa / en investigación social / Luis Jesús Galindo Cáceres / Biblioteca / Universidad Veracruzana,https://lh3.googleusercontent.com/pw/AP1GczM_AJsRoM0ww1-gD-FHOuZ_6HGy9KBHHwHezUtvaXLj_31XWaYbDOb6wHuHIxDK6Yhgj5jIL6bCKOEsPAuPa49SeBEmQKNlQG5V6woSsWiF7N7up8M
rotadas/caja-11/004_AP1GczPy3K.jpg,J18,Caja #11,caja-11,004_AP1GczPy3K.jpg,0,83.1,MITO / Y REALIDAD / Mircea Eliade / J18,https://lh3.googleusercontent.com/pw/AP1GczPy3KJJy0fvf-d1gMVhIOqS7Fpg7uKAq9Iim-QFBZLzyTDHSZfNZ-imFRrgYoe6Jno7eR6oxKDDfXruzl4vlS_T1HG4fNUY7F_IlgtnvaGVMH9Lj0g
rotadas/caja-11/005_AP1GczND1g.jpg,EL HURACAN,Caja #11,caja-11,005_AP1GczND1g.jpg,0,94.1,FERNANDO ORTIZ / EL HURACAN / Su mitología y sus símbolos / Se,https://lh3.googleusercontent.com/pw/AP1GczND1gXIbYr_UZ8zxe1ueHhZOGYW8KulpbTkXcTzoKLuWRH7XE0yh0qmE4HPmOYex-iaIWkZYbdKCPkydxzoJB_LTFHBgXgXzVSBAXzHaIgcK5MCyHc
rotadas/caja-11/006_AP1GczOLxY.jpg,La investigación cientifica,Caja #11,caja-11,006_AP1GczOLxY.jpg,0,97.9,MARIO BUNGE / La investigación / cientifica / Segunda edición corregida / Ariel / methodos,https://lh3.googleusercontent.com/pw/AP1GczOLxY6LoJHnB8YJ8FGPlJ2iQeOPMVFvZ4YFEBBOEkRxb1FnY9t3BWsqp5NVUSBVVTBLMzNguVrsEg85CUGml0PKqBFNQYY36Lhkwxcmp0QvZCpWRLg
rotadas/caja-11/007_AP1GczPHgo.jpg,divinización,Caja #11,caja-11,007_AP1GczPHgo.jpg,0,96.0,Hegel / o la / divinización / del / Estado / Jorge Juanes / Joan Boldó i Climent Editores,https://lh3.googleusercontent.com/pw/AP1GczPHgoT3Mid4gnZzfCjtAGNsEbo5Hdo8-CHze3UdT2Fglt24JZ-QftZJVH6ZErH-XXJPFptVmbP-JiPN1sPARYMjkAThtzqEVGZjBxNqPYwUjvP3Quc
rotadas/caja-11/008_AP1GczNNI7.jpg,Jürgen Habermas,Caja #11,caja-11,008_AP1GczNNI7.jpg,0,95.4,Jürgen Habermas / La reconstrucción / del materialismo / histórico / Taurus Humanidades,https://lh3.googleusercontent.com/pw/AP1GczNNI77HPwfVdhh77CuFKE9xOwAgeZnSUy6s2c0fvxT3PEYMK2N-MhO6NzseiRGJtmMUfejzl4xhxv4Dygnd1DntxF2ZuN9_IYaucatHk7CU6Rwkku0
rotadas/caja-11/009_AP1GczM7Fw.jpg,SISTE DE GRECIA,Caja #11,caja-11,009_AP1GczM7Fw.jpg,0,90.0,EMILY VERMEULE / 51 / 4 / LA MUERTE / EN LA POESIA Y EN EL ARTE / SISTE DE GRECIA / 333 / 33 / AAAAAAAAAAAAAA / F Stu,https://lh3.googleusercontent.com/pw/AP1GczM7FwjwKA47hBoqRaTFtaA7UAeMp29_0NGIQUp4FPu5M_Hlkoz0GG9QA95FuH3DIXKTJU-1maOxb9ZWGDazer-Nk2lLxc5puHoG61hTzjvCUYL3FpU
rotadas/caja-11/010_AP1GczMGsJ.jpg,Antropología 7,Caja #11,caja-11,010_AP1GczMGsJ.jpg,0,88.4,Antropología 7 / del / Ritual / Victor Turner / Ingrid Geist,https://lh3.googleusercontent.com/pw/AP1GczMGsJU3Dx5V8Zsl8B4uPRhX_SOyNnQMU-srznpsmHRhoKTn2yElD5jqgg72pV1kls3yqoAQwu7Re2WMj4AUo9vIPoLm3EOBXkTBInSNm8fV8bZtyrU
rotadas/caja-11/011_AP1GczNGFO.jpg,ANTROPOLOGÍAS HISTORIAS LENGUAJES SOCIOLOGÍAS,Caja #11,caja-11,011_AP1GczNGFO.jpg,0,97.4,ANTROPOLOGÍAS HISTORIAS LENGUAJES SOCIOLOGÍAS / O / If y / B / Danièle Dehouve / EL IMAGINARIO DE LOS NÚMEROS / ENTRE LOS ANTIGUOS MEXICANOS / PUBLICACIONES DE LA CASA CHATA,https://lh3.googleusercontent.com/pw/AP1GczNGFOTGjHlL07SHaejlPGaaAbJQyFc61GzuUcHyRCHGpaevLBvQvkW_tDrQ9PdctNEFEse9WghhUbsZroRAdKoS6a-VCDV78zO9y8n_qEbOfnmToTo
rotadas/caja-11/012_AP1GczNFTC.jpg,ntropología,Caja #11,caja-11,012_AP1GczNFTC.jpg,0,95.3,ntropología / e historia / en el siglo de las luces / michèle / duchet / X / siglo / veintiuno / editores / sa,https://lh3.googleusercontent.com/pw/AP1GczNFTCF-R9SnByOgmZkyEVjoqyMwFdPjSAOw1TMgZuSaL2-w3vnSPqD7ws6atMTL1yzoHgF0y5CYj9Iaif5rXR2DC9DJ-Ycr7ZYiJUUWhcndMks959g
rotadas/caja-11/013_AP1GczNUgN.jpg,fe Elisée Reclus EL HOMBRE Y LA TIERRA,Caja #11,caja-11,013_AP1GczNUgN.jpg,0,95.6,fe Elisée Reclus / EL HOMBRE Y LA TIERRA,https://lh3.googleusercontent.com/pw/AP1GczNUgNYwQBx67F2HfYxDENFFC5c6u4mvJ4NILkmo7GKfdalVo1MEVz-WrYnodN3P7yf1XXC1LB3_CCgQM3w59Ljeo-zYn22I5fpdk2GInvyFwrO1GcE
rotadas/caja-11/014_AP1GczOu5t.jpg,1complejidad de la antropología física,Caja #11,caja-11,014_AP1GczOu5t.jpg,0,94.8,1complejidad / de la antropología física / Tomo I / ANABELLA BARRAGÁN SOLÍS Y LAURO GONZÁLEZ QUINTERO / Coordinadores / INVESTIGACIÓN PROA,https://lh3.googleusercontent.com/pw/AP1GczOu5t1-GB7qVmXqxjAr4jepnL81qcQVVFcCIMrD8dr6ydHsH6urjrUreSwq1HfRnGgSEiUbUADNbKr0r9We_Mj_6hLVybvnc99ynzGq973CcfjOlhU
